Gamma,m_z (MC),m_z (Analytical),m_x (MC),m_x (Analytical),beta,h
-2.0,-0.24292388460417202,-0.24253562449608215,0.970819199999226,0.9701424979843286,5.0,0.5
-1.95,-0.2472709480056101,-0.24837534936937877,0.967541743583766,0.9686638625405772,5.0,0.5
-1.9,-0.25344310533000564,-0.25449329778625257,0.9693119999937414,0.9670745315877597,5.0,0.5
-1.8499999999999999,-0.2609132428734317,-0.2609090226607823,0.9676428108043366,0.9653633838448944,5.0,0.5
-1.7999999999999998,-0.2654856055813409,-0.26764385966230203,0.9643119999999332,0.9635178947842873,5.0,0.5
-1.7499999999999998,-0.2734954850582051,-0.27472112104812574,0.9646523428501869,0.9615239236684399,5.0,0.5
-1.6999999999999997,-0.2794140591331267,-0.2821663126200611,0.96479011765437,0.9593654629082075,5.0,0.5
-1.6499999999999997,-0.28870190941786733,-0.29000737641190616,0.9590681212167275,0.9570243421592901,5.0,0.5
-1.5999999999999996,-0.29276759148537934,-0.29827496183592084,0.9591060000000001,0.9544798778749465,5.0,0.5
-1.5499999999999996,-0.30651626549632466,-0.3070027280384199,0.9527236129057799,0.9517084569191014,5.0,0.5
-1.4999999999999996,-0.31311359291597557,-0.31622768006973423,0.9542218666609091,0.9486830402092025,5.0,0.5
-1.4499999999999995,-0.3218899438326611,-0.32599054105822306,0.9502957241392453,0.9453725690688466,5.0,0.5
-1.3999999999999995,-0.3341704012943049,-0.3363361617359928,0.9450600000000574,0.9417412528607795,5.0,0.5
-1.3499999999999994,-0.3444138343094156,-0.3473139671626228,0.9409534814749895,0.9377477113390812,5.0,0.5
-1.2999999999999994,-0.35712030283526264,-0.35897843798622203,0.9379526153779129,0.9333439387641769,5.0,0.5
-1.2499999999999993,-0.3704653256697976,-0.37138961955612315,0.929804800007176,0.9284740488903075,5.0,0.5
-1.1999999999999993,-0.38458943336978774,-0.3846136459043864,0.9254880000003063,0.9230727501705268,5.0,0.5
-1.1499999999999992,-0.40110521503600965,-0.39872325594169356,0.9154135652154475,0.9170634886658945,5.0,0.5
-1.0999999999999992,-0.4119353264692035,-0.41379826456979907,0.9101250909093944,0.9103561820535574,5.0,0.5
-1.0499999999999992,-0.430749358964432,-0.4299259295102763,0.9019725714231712,0.9028444519715794,5.0,0.5
