beta,m_z (MC),m_z (Analytical),m_x (MC),m_x (Analytical),h,Gamma
1.0,-0.27056617889677415,-0.27006470645883723,-0.448,-0.4501078440980621,0.3,0.5
1.2,-0.31175169839513683,-0.3108513149256185,-0.5165199999989237,-0.5180855248760309,0.3,0.5
1.4,-0.3469277335623652,-0.3462912458492598,-0.576240000001159,-0.5771520764154331,0.3,0.5
1.5999999999999999,-0.3756126893192884,-0.3765941149753333,-0.6293325,-0.6276568582922222,0.3,0.5
1.7999999999999998,-0.40140350076155124,-0.4021502812923944,-0.6716733333373563,-0.6702504688206574,0.3,0.5
1.9999999999999998,-0.4240636489634788,-0.42345421810020323,-0.7048240000000001,-0.7057570301670054,0.3,0.5
2.1999999999999997,-0.4413792734876844,-0.44104204006588243,-0.7365381818219293,-0.7350700667764707,0.3,0.5
2.3999999999999995,-0.4561590288848834,-0.45544607161527334,-0.7600266666645292,-0.7590767860254556,0.3,0.5
2.5999999999999996,-0.46689323854889564,-0.4671654291480009,-0.7789630769249144,-0.7786090485800016,0.3,0.5
2.8,-0.47681051622502585,-0.4766496460360278,-0.7940271428522585,-0.7944160767267131,0.3,0.5
2.9999999999999996,-0.4834426181703394,-0.48429185653349965,-0.8094360000030436,-0.8071530942224995,0.3,0.5
3.1999999999999993,-0.4901976954957968,-0.4904283585848018,-0.8200375000000001,-0.8173805976413364,0.3,0.5
3.3999999999999995,-0.4953979576853341,-0.49534202127901583,-0.8287623529365618,-0.8255700354650265,0.3,0.5
3.5999999999999996,-0.49906582653013404,-0.49926769946558475,-0.8334055555627362,-0.8321128324426413,0.3,0.5
3.7999999999999994,-0.5010314053882255,-0.5023984238355115,-0.839985263163995,-0.8373307063925192,0.3,0.5
3.999999999999999,-0.5052220535734153,-0.5048916027005572,-0.8440760000000002,-0.8414860045009287,0.3,0.5
4.199999999999999,-0.5070626014992555,-0.5068748049287402,-0.8460895238117283,-0.8447913415479003,0.3,0.5
4.3999999999999995,-0.5074698907830089,-0.5084509157194808,-0.8497927272739692,-0.8474181928658013,0.3,0.5
4.6,-0.5077567283776208,-0.5097025961719907,-0.8525626087007387,-0.8495043269533179,0.3,0.5
4.799999999999999,-0.5086095710543367,-0.5106960589432454,-0.8513666666695205,-0.8511600982387425,0.3,0.5
4.999999999999999,-0.5099409837448707,-0.511484215327595,-0.8535808000034606,-0.8524736922126583,0.3,0.5
5.199999999999999,-0.5118022770814786,-0.5121092680393909,-0.8539992307772653,-0.8535154467323182,0.3,0.5
5.399999999999999,-0.5115713849509187,-0.5126048285914124,-0.8565859259295636,-0.8543413809856875,0.3,0.5
5.599999999999999,-0.5128119102624675,-0.5129976348244096,-0.8551557142839037,-0.8549960580406828,0.3,0.5
5.799999999999999,-0.5132817381977636,-0.5133089368747576,-0.8553524137865676,-0.8555148947912626,0.3,0.5
5.999999999999999,-0.5136370786913359,-0.5135556110868744,-0.8579306666649018,-0.8559260184781241,0.3,0.5
6.199999999999999,-0.512930274666353,-0.5137510524640956,-0.8578180645068169,-0.856251754106826,0.3,0.5
6.399999999999999,-0.5143542659605829,-0.5139058879325165,-0.8571118750000001,-0.856509813220861,0.3,0.5
6.599999999999999,-0.514562732349712,-0.5140285452973846,-0.8564757575842175,-0.8567142421623077,0.3,0.5
6.799999999999999,-0.5154790582895517,-0.5141257064012899,-0.8563623529342701,-0.856876177335483,0.3,0.5
6.999999999999998,-0.5160992154232068,-0.5142026676220902,-0.8583388571465846,-0.8570044460368171,0.3,0.5
7.199999999999998,-0.5151972558584954,-0.5142636263879806,-0.8584327777739678,-0.8571060439799678,0.3,0.5
7.399999999999999,-0.5150791513921781,-0.5143119087239417,-0.8581600000040266,-0.857186514539903,0.3,0.5
7.599999999999999,-0.5162785415445681,-0.5143501498602923,-0.8576500000023293,-0.8572502497671539,0.3,0.5
7.799999999999999,-0.5151222005735263,-0.5143804375192956,-0.8588446153890129,-0.857300729198826,0.3,0.5
7.999999999999998,-0.5155310832254393,-0.5144044255506572,-0.8592870000000001,-0.8573407092510955,0.3,0.5
8.2,-0.5154982689018266,-0.51442342402572,-0.8600014634046801,-0.8573723733762001,0.3,0.5
8.399999999999999,-0.515413802602608,-0.5144384706509461,-0.8621238095283151,-0.8573974510849101,0.3,0.5
8.599999999999998,-0.5137181434669429,-0.5144503873638192,-0.8604800000129659,-0.8574173122730321,0.3,0.5
8.799999999999997,-0.514393192890838,-0.5144598251792387,-0.8613627272776949,-0.8574330419653979,0.3,0.5
8.999999999999998,-0.5140412927205239,-0.5144672997216133,-0.861103555557838,-0.8574454995360222,0.3,0.5
9.199999999999998,-0.5125863235185201,-0.514473219374647,-0.8599643478227594,-0.8574553656244116,0.3,0.5
9.399999999999999,-0.5139251078581241,-0.5144779075810132,-0.8597893616918332,-0.8574631793016887,0.3,0.5
9.599999999999998,-0.5130714185327352,-0.5144816205066983,-0.8596691666668442,-0.8574693675111639,0.3,0.5
9.799999999999997,-0.5138985334108569,-0.5144845610329147,-0.8574804081730927,-0.8574742683881912,0.3,0.5
9.999999999999998,-0.5128227324617359,-0.5144868898386953,-0.8591892000037276,-0.8574781497311588,0.3,0.5
