h,m_z (MC),m_z (Analytical),m_x (MC),m_x (Analytical),beta,Gamma
-2.0,0.8912964741963377,0.8944271906520153,-0.4547063999980104,-0.44721359532600763,5.0,1.0
-1.95,0.8941378638978381,0.8898174622720597,-0.45059999999803324,-0.456316647319005,5.0,1.0
-1.9,0.8853232759377295,0.8849182215439995,-0.46791679999797936,-0.4657464323915787,5.0,1.0
-1.8499999999999999,0.8796236424376895,0.8797065122811342,-0.4760215999979233,-0.475517033665478,5.0,1.0
-1.7999999999999998,0.869642885107093,0.8741572741265103,-0.49584879999787634,-0.4856429300702836,5.0,1.0
-1.7499999999999998,0.8704813124573135,0.8682431390611824,-0.49405359999790804,-0.49613893660639,5.0,1.0
-1.6999999999999997,0.8650410822766952,0.8619342104709521,-0.5011343999978959,-0.5070201238064425,5.0,1.0
-1.6499999999999997,0.857042924880719,0.8551978244104727,-0.5161287999978558,-0.5183017117639229,5.0,1.0
-1.5999999999999996,0.851356196003406,0.8479982931614982,-0.5253031999978328,-0.5299989332259365,5.0,1.0
-1.5499999999999996,0.8396358580451382,0.8402966318362998,-0.5449247999981247,-0.5421268592492258,5.0,1.0
-1.4999999999999996,0.8325017799499806,0.8320502696874162,-0.555450399998338,-0.554700179791611,5.0,1.0
-1.4499999999999995,0.8250382697849916,0.8232127490246803,-0.5669679999985244,-0.5677329303618487,5.0,1.0
-1.3999999999999995,0.8127548000918899,0.8137334162997785,-0.5843047999987583,-0.581238154499842,5.0,1.0
-1.3499999999999994,0.8039885799080463,0.803557112104689,-0.5962903999988746,-0.595227490447918,5.0,1.0
-1.2999999999999994,0.7901360977877929,0.792623869667826,-0.6129119999990761,-0.6097106689752511,5.0,1.0
-1.2499999999999993,0.779468446463221,0.780868635060002,-0.6280743999992497,-0.6246949080480019,5.0,1.0
-1.1999999999999993,0.7711110529225609,0.7682210268890303,-0.6403959999993711,-0.6401841890741923,5.0,1.0
-1.1499999999999992,0.7576867022869743,0.7546051589096298,-0.6555735999994883,-0.6561783990518524,5.0,1.0
-1.0999999999999992,0.7404646323117777,0.7399395558191836,-0.6740631999996538,-0.6726723234719856,5.0,1.0
-1.0499999999999992,0.7237619410943864,0.7241372006003052,-0.6933623999997528,-0.6896544767621959,5.0,1.0
-0.9999999999999991,0.7094205956003985,0.7071057610384571,-0.7043327999999361,-0.7071057610384577,5.0,1.0
-0.9499999999999991,0.6916493781840336,0.6887480532182163,-0.7252160000000136,-0.7249979507560178,5.0,1.0
-0.899999999999999,0.6721119321173722,0.6689628103103895,-0.7425792000001115,-0.7432920114559891,5.0,1.0
-0.849999999999999,0.6475024995449339,0.6476458347899884,-0.7651072000001394,-0.7619362762235167,5.0,1.0
-0.7999999999999989,0.6256091052563364,0.6246916197674772,-0.784127200000247,-0.7808645247093475,5.0,1.0
-0.7499999999999989,0.5997470314386962,0.5999955280328585,-0.8020048000002881,-0.7999940373771458,5.0,1.0
-0.6999999999999988,0.5732015230138819,0.5734566125375129,-0.8209376000002868,-0.8192237321964484,5.0,1.0
-0.6499999999999988,0.5435024397677253,0.5449811454181885,-0.8428224000002338,-0.8384325314125993,5.0,1.0
-0.5999999999999988,0.5136015714069443,0.5144868898386944,-0.8573360000002364,-0.8574781497311591,5.0,1.0
-0.5499999999999987,0.4795191005961824,0.4819080955663451,-0.8792792000001914,-0.8761965373933568,5.0,1.0
-0.49999999999999867,0.44894613524863114,0.4472011222674448,-0.8970016000001704,-0.8944022445348919,5.0,1.0
-0.4499999999999986,0.40898775248943886,0.41035049388578243,-0.9146512000001095,-0.9118899864128527,5.0,1.0
-0.3999999999999986,0.3699089370281452,0.3713750679986593,-0.9304184000000894,-0.9284376699966516,5.0,1.0
-0.34999999999999853,0.3300162110581319,0.33033387745455345,-0.9461072000000392,-0.9438110784415852,5.0,1.0
-0.2999999999999985,0.28442222354693913,0.2873310875576823,-0.9611423999999862,-0.9577702918589458,5.0,1.0
-0.24999999999999845,0.24119174763098367,0.24251943730500128,-0.9692208000000189,-0.9700777492200111,5.0,1.0
-0.1999999999999984,0.19609178687089623,0.19610152766587402,-0.9830735999999778,-0.980507638329378,5.0,1.0
-0.14999999999999836,0.14797327458227807,0.14832840976080905,-0.99205919999993,-0.9888560650720711,5.0,1.0
-0.09999999999999831,0.10069232447191005,0.09949512403792975,-0.9964199999999606,-0.9949512403793143,5.0,1.0
-0.04999999999999827,0.050008460286170224,0.04993313910745035,-1.0003975999998833,-0.9986627821490415,5.0,1.0
